url,brand_asal,jenis_pola,label_sintetis
http://cimb-login.test,cimb,brand_dengan_kata_mencurigakan,1
http://cimb-verify.test,cimb,brand_dengan_kata_mencurigakan,1
http://cimb-update.test,cimb,brand_dengan_kata_mencurigakan,1
http://cimb-account.test,cimb,brand_dengan_kata_mencurigakan,1
http://cimbb.test,cimb,typo_brand,1
http://c1mb.test,cimb,typo_brand,1
http://cimbsecure.test,cimb,typo_brand,1
http://ccimb.test,cimb,typo_brand,1
http://cimb.login-update.test,cimb,brand_sebagai_subdomain_palsu,1
http://dbs-login.test,dbs,brand_dengan_kata_mencurigakan,1
http://dbs-verify.test,dbs,brand_dengan_kata_mencurigakan,1
http://dbs-update.test,dbs,brand_dengan_kata_mencurigakan,1
http://dbs-account.test,dbs,brand_dengan_kata_mencurigakan,1
http://dbs.login-update.test,dbs,brand_sebagai_subdomain_palsu,1
http://kasikorn-login.test,kasikorn,brand_dengan_kata_mencurigakan,1
http://kasikorn-verify.test,kasikorn,brand_dengan_kata_mencurigakan,1
http://kasikorn-update.test,kasikorn,brand_dengan_kata_mencurigakan,1
http://kasikorn-account.test,kasikorn,brand_dengan_kata_mencurigakan,1
http://k4sikorn.test,kasikorn,typo_brand,1
http://kasikornsecure.test,kasikorn,typo_brand,1
http://kkasikorn.test,kasikorn,typo_brand,1
http://kasikornlogin.test,kasikorn,typo_brand,1
http://kasikorn.login-update.test,kasikorn,brand_sebagai_subdomain_palsu,1
http://maybank-login.test,maybank,brand_dengan_kata_mencurigakan,1
http://maybank-verify.test,maybank,brand_dengan_kata_mencurigakan,1
http://maybank-update.test,maybank,brand_dengan_kata_mencurigakan,1
http://maybank-account.test,maybank,brand_dengan_kata_mencurigakan,1
http://m4yb4nk.test,maybank,typo_brand,1
http://maybanksecure.test,maybank,typo_brand,1
http://maybankk.test,maybank,typo_brand,1
http://mmaybank.test,maybank,typo_brand,1
http://maybank.login-update.test,maybank,brand_sebagai_subdomain_palsu,1
http://ocbc-login.test,ocbc,brand_dengan_kata_mencurigakan,1
http://ocbc-verify.test,ocbc,brand_dengan_kata_mencurigakan,1
http://ocbc-update.test,ocbc,brand_dengan_kata_mencurigakan,1
http://ocbc-account.test,ocbc,brand_dengan_kata_mencurigakan,1
http://ocbcc.test,ocbc,typo_brand,1
http://0cbc.test,ocbc,typo_brand,1
http://ocbclogin.test,ocbc,typo_brand,1
http://oocbc.test,ocbc,typo_brand,1
http://ocbc.login-update.test,ocbc,brand_sebagai_subdomain_palsu,1
http://uob-login.test,uob,brand_dengan_kata_mencurigakan,1
http://uob-verify.test,uob,brand_dengan_kata_mencurigakan,1
http://uob-update.test,uob,brand_dengan_kata_mencurigakan,1
http://uob-account.test,uob,brand_dengan_kata_mencurigakan,1
http://uob.login-update.test,uob,brand_sebagai_subdomain_palsu,1
http://lazada-login.test,lazada,brand_dengan_kata_mencurigakan,1
http://lazada-verify.test,lazada,brand_dengan_kata_mencurigakan,1
http://lazada-update.test,lazada,brand_dengan_kata_mencurigakan,1
http://lazada-account.test,lazada,brand_dengan_kata_mencurigakan,1
http://llazada.test,lazada,typo_brand,1
http://lazadaa.test,lazada,typo_brand,1
http://lazadasecure.test,lazada,typo_brand,1
http://l4z4d4.test,lazada,typo_brand,1
http://lazada.login-update.test,lazada,brand_sebagai_subdomain_palsu,1
http://shopee-login.test,shopee,brand_dengan_kata_mencurigakan,1
http://shopee-verify.test,shopee,brand_dengan_kata_mencurigakan,1
http://shopee-update.test,shopee,brand_dengan_kata_mencurigakan,1
http://shopee-account.test,shopee,brand_dengan_kata_mencurigakan,1
http://shopeee.test,shopee,typo_brand,1
http://shopeesecure.test,shopee,typo_brand,1
http://shopeelogin.test,shopee,typo_brand,1
http://sh0pee.test,shopee,typo_brand,1
http://shopee.login-update.test,shopee,brand_sebagai_subdomain_palsu,1
http://grab-login.test,grab,brand_dengan_kata_mencurigakan,1
